code,p17hong,p17yoo,p17the,p17han,p17kuk,p17jung,p17valid,p16the,p16han,p16kuk,p16jung,p16valid,r17han,r17the,r17hong,r17kuk,r17yoo,r17jung,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
1104069,1351,384,2720,1735,1499,370,6348,1454,1580,1412,349,5195,0.27331443,0.428481411,0.212822936,0.236137366,0.060491493,0.058286074,0.302086097,0.328264122,0.293360089,0.072508974,0.126395314,-0.054949692,-0.057222723,-0.014222899,0.428481411,1,0.192344045,0.236137366,3,0.212822936,2,0.060491493,4,0.058286074,5
1104070,1837,516,3753,2353,2212,538,8887,2058,2187,2020,411,7241,0.264768763,0.422302239,0.206706425,0.248902892,0.058062338,0.060537864,0.30719311,0.326448654,0.301520934,0.061349061,0.11510913,-0.061679891,-0.052618042,-0.000811197,0.422302239,1,0.173399347,0.248902892,3,0.206706425,2,0.060537864,5,0.058062338,4
1104071,2936,1232,6550,4168,3507,942,15214,2626,3038,2722,719,9755,0.273958196,0.430524517,0.19298015,0.230511371,0.080978047,0.061916656,0.287521977,0.332632051,0.298033063,0.078723649,0.14300254,-0.058673855,-0.067521691,-0.016806993,0.430524517,1,0.200013146,0.230511371,3,0.19298015,2,0.080978047,4,0.061916656,5
1104072,2760,1112,5609,3872,3258,836,13609,2271,3149,3393,743,10265,0.284517599,0.412153722,0.202806966,0.239400397,0.081710633,0.061429936,0.237058001,0.328707901,0.354177806,0.077557946,0.175095721,-0.044190303,-0.114777409,-0.01612801,0.412153722,1,0.172753325,0.239400397,3,0.202806966,2,0.081710633,4,0.061429936,5
1104073,3621,1567,6106,5188,3401,862,15603,2402,3680,3269,915,10908,0.33250016,0.391335,0.232070756,0.217970903,0.100429405,0.055245786,0.233286435,0.357408027,0.317490989,0.088866398,0.158048565,-0.024907867,-0.099520086,-0.033620612,0.391335,1,0.159264244,0.232070756,2,0.217970903,3,0.100429405,4,0.055245786,5
1105053,1943,1143,6055,3086,2386,1225,12795,3192,2303,2476,852,9623,0.241187964,0.473231731,0.151856194,0.186479093,0.08933177,0.095740524,0.360565872,0.260145113,0.279687061,0.096241266,0.11266586,-0.018957149,-0.093207967,-0.000500743,0.473231731,1,0.286752638,0.186479093,3,0.151856194,2,0.095740524,5,0.08933177,4
1105054,2308,753,5267,3061,2660,912,11959,2701,2657,2740,713,9593,0.255957856,0.44042144,0.192992725,0.222426624,0.062965131,0.076260557,0.305036268,0.300067147,0.309440716,0.080522347,0.135385172,-0.044109291,-0.087014092,-0.00426179,0.44042144,1,0.217994816,0.222426624,3,0.192992725,2,0.076260557,5,0.062965131,4
1105055,1871,596,3830,2467,2019,599,8937,1825,2215,2185,546,7282,0.276043415,0.428555444,0.209354369,0.225914736,0.066689046,0.067024729,0.268868327,0.32632512,0.321905367,0.08043951,0.159687117,-0.050281705,-0.09599063,-0.013414782,0.428555444,1,0.202640707,0.225914736,3,0.209354369,2,0.067024729,5,0.066689046,4
1105056,2630,816,5878,3446,2977,924,13260,2625,2895,3016,784,10038,0.259879336,0.443288084,0.198340875,0.224509804,0.061538462,0.069683258,0.280908934,0.309802425,0.322750989,0.083898135,0.16237915,-0.049923088,-0.098241185,-0.014214877,0.443288084,1,0.218778281,0.224509804,3,0.198340875,2,0.069683258,5,0.061538462,4
1105057,2171,641,4220,2812,2366,685,10136,1953,2399,2347,508,7836,0.277426993,0.416337806,0.214187056,0.233425414,0.063239937,0.0675809,0.269569583,0.331130276,0.323952796,0.070118458,0.146768223,-0.053703283,-0.090527382,-0.002537558,0.416337806,1,0.182912391,0.233425414,3,0.214187056,2,0.0675809,5,0.063239937,4
1105058,3978,1161,7729,5139,4218,1238,18409,3570,4449,4279,1036,14516,0.279156934,0.419848987,0.216089956,0.229127057,0.063066978,0.067249715,0.266500391,0.332117714,0.319427219,0.077337368,0.153348596,-0.05296078,-0.090300162,-0.010087654,0.419848987,1,0.190721929,0.229127057,3,0.216089956,2,0.067249715,5,0.063066978,4
