구분,No.,Korean,Scientific,Family,구분,수량
7. 상록수원,43,서양측백나무,Thuja occidentalis,측백나무과,상록교목,4
7. 상록수원,44,서양측백 '에메랄드 골드', Thuja occidentalis 'Emerald Gold' ,측백나무과,상록교목,5
7. 상록수원,45,서양측백 '에메랄드 그린', Thuja occidentalis 'Emerald Green' ,측백나무과,상록교목,1
7. 상록수원,46,솔송나무,Tsuga sieboldii ,소나무과,상록교목,2
7. 상록수원,47,스코풀로룸 향나무 '스카이로켓',Juniperus scopulorum 'Skyrocket' ,측백나무과,상록교목,4
7. 상록수원,48,실화백,Chamaecyparis pisifera,측백나무과,상록교목,3
7. 상록수원,49,아왜나무,Viburnum odoratissimum var. awabuki ,인동과,상록교목,3
7. 상록수원,50,애기동백나무,Camellia sasanqua,차나무과,상록교목,6
7. 상록수원,51,오엽송,Pinus parviflora Glauca Group,소나무과,상록교목,3
7. 상록수원,52,우묵사스레피,Eurya emarginata,차나무과,상록관목,6
7. 상록수원,53,원추리 '스텔라',Hemerocallis 'Stella de Oro' ,백합과,다년초,
7. 상록수원,54,육박나무,Actinodaphne lancifolia,녹나무과,상록교목,3
7. 상록수원,55,은목서,Osmanthus x fortunei ,물푸레나무과,상록교목,4
7. 상록수원,56,음나무,Kalopanax septemlobus,두릅나무과,낙엽교목,1
7. 상록수원,57,인동덩굴(홍금은화),Lonicera japonica (pink),인동과,낙엽덩굴목본,1
7. 상록수원,58,일본산수국,Hydrangea sp.,수국과,낙엽관목,3
7. 상록수원,59,작살나무,Callicarpa japonica,마편초과,낙엽관목,1
7. 상록수원,60,잣나무,Pinus koraiensis ,소나무과,상록교목,1
7. 상록수원,61,조록나무,Distylium racemosum,조록나무과,상록교목,1
7. 상록수원,62,조팝나무,Spiraea prunifolia f. simpliciflora,장미과,낙엽관목,20
7. 상록수원,63,좀꽝꽝나무,Ilex crenata var. microphylla,감탕나무과 ,상록관목,4
7. 상록수원,64,종가시나무,Quercus glauca,참나무과,상록교목,24
7. 상록수원,65,줄사철나무,Euonymus fortunei var. radicans,노박덩굴과,상록관목,1
7. 상록수원,66,중국산딸나무,Cornus kousa subsp. Chinensis,층층나무과,낙엽교목,1
7. 상록수원,67,진달래,Rhododendron mucronulatum ,진달래과,낙엽관목,10
7. 상록수원,68,참가시나무,Quercus salicina ,참나무과,상록교목,11
7. 상록수원,69,치자나무,Gardenia jasminoides,꼭두서니과,상록관목,3
7. 상록수원,70,칠엽수,Aesculus turbinata,칠엽수과,낙엽교목,3
7. 상록수원,71,칼리키눔 물레나물,Hypericum calycinum ,물레나물과,낙엽관목,1
7. 상록수원,72,털설구화 '라나스',Viburnum plicatum f. tomentosum 'Lanarth',인동과,낙엽관목,6
7. 상록수원,73,털조록싸리,Lespedeza maximowiczii var. tomentella,콩과,낙엽관목,1
7. 상록수원,74,팔손이,Fatsia japonica ,두릅나무과,상록관목,1
7. 상록수원,75,팥배나무,Sorbus alnifolia,장미과,낙엽교목,1
7. 상록수원,76,향나무류 '히버니카',Juniperus communis 'Hibernica' ,측백나무과,상록교목,3
7. 상록수원,77,향나무류 1,Juniperus sp. ,측백나무과,상록교목,4
7. 상록수원,78,향나무류 2,Juniperus sp. ,측백나무과,상록교목,2
7. 상록수원,79,향나무류 3,Juniperus sp. ,측백나무과,상록교목,2
7. 상록수원,80,호랑가시나무 '버포드 나나',Ilex cornuta 'Burfordii Nana' ,감탕나무과,상록관목,1
7. 상록수원,81,홍가시나무,Photinia glabra,장미과,낙엽교목,25
7. 상록수원,82,화백,Chamaecyparis pisifera,측백나무과,상록교목,1
7. 상록수원,83,황금실화백,Chamaecyparis pisifera 'Filifera Aurea',측백나무과,상록교목,1
7. 상록수원,84,황금측백나무,Platycladus orientalis 'Aurea Nana' ,측백나무과,상록관목,5
7. 상록수원,85,황칠나무,Dendropanax morbiferus ,두릅나무과,상록교목,1
7. 상록수원,86,후박나무,Machilus thunbergii ,녹나무과,상록교목,11
8. 지피원,1,감나무,Diospyros kaki ,감나무과,낙엽교목,4
8. 지피원,2,코니카사초 '스노우라인',Carex conica 'Snowline' ,사초과,다년초,
8. 지피원,3,금낭화,Dicentra spectabilis,현호색과,다년초,
8. 지피원,4,금잔화,Calendula arvensis,국화과,다년초,
8. 지피원,5,금테사철나무,Euonymus japonicus 'Aureo-marginata',노박덩굴과,상록관목,1
8. 지피원,6,글라우카 김의털,Festuca glauca,벼과,다년초,
8. 지피원,7,꼬리조팝나무,Spiraea salicifolia,장미과,낙엽관목,30
8. 지피원,8,꽃댕강나무,Abelia x grandiflora,인동과,낙엽관목,20
8. 지피원,9,노랑말채나무,Cornus sericea 'Flaviramea',층층나무과,낙엽관목,3
8. 지피원,10,노랑무늬 쑥부쟁이,Aster pinnatifida 'Variegata',국화과,다년초,
8. 지피원,11,해변노간주,Juniperus rigida var. conferta ,측백나무과,상록관목,1
8. 지피원,12,다정큼나무,Rhaphiolepis indica var. umbellata,장미과,상록관목,4
8. 지피원,13,댓잎구골나무,Osmanthus heterophyllus ,물푸레나무과,상록관목,4
8. 지피원,14,등나무,Wisteria floribunda,콩과,낙엽관목,1
8. 지피원,15,딱총나무,Sambucus williamsii var. coreana,인동과,낙엽관목,1
8. 지피원,16,뜰보리수,Elaeagnus multiflora,보리수나무과,낙엽관목,1
8. 지피원,17,명자나무,Chaenomeles japonica,장미과,낙엽관목,1
8. 지피원,18,명자나무(흑광),Chaenomeles japonica,장미과,낙엽관목,1
8. 지피원,19,무늬 수호초,Pachysandra terminalis 'Variegatus',회양목과,다년초,
8. 지피원,20,무늬 피라칸사,Pyracantha sp.,장미과,낙엽관목,2
8. 지피원,21,무늬 황매화,Kerria japonica 'Variegata',장미과,낙엽관목,10
8. 지피원,22,무스카리,Muscari armeniacum ,백합과,다년초,
8. 지피원,23,물레나물 '히드코트',Hypericum 'Hidcote',물레나물과,다년초,5
8. 지피원,24,참억새 '모닝라이트',Miscanthus sinensis 'Morning Light' ,벼과,다년초,
8. 지피원,25,참억새 '제브리너스',Miscanthus sinensis 'Zebrinus' ,벼과,다년초,
8. 지피원,26,미국산딸나무,Cornus florida,층층나무과,낙엽교목,2
